ARTIST_ID,ALBUM_ID,ALBUM_NAME,ALBUM_YEAR,ALBUM_POPULARITY
Madonna,1ZZSvLZfbkBDIFPSMi3Cqk,MDNA World Tour,2013,51
Madonna,6xmfXi6p6SAxD4Rd7swccG,MDNA (Deluxe Version),2012,53
Madonna,6jtHplxM3zv2SWYBR4gmoj,MDNA,2012,43
Madonna,4V7Hvd22YLIdLW2iymmvdr,MDNA,2012,21
Madonna,5sE73Nv3vJ1xaFxR9oL4z6,Sticky & Sweet Tour,2010,42
Madonna,33w4uTuzU0Sxhvpxo5QDMH,Sticky & Sweet Tour,2010,15
Madonna,43lok9zd7BW5CoYkXZs7S0,Celebration,2009,75
Madonna,4kjimnl1CewIvZYYzh3leu,Celebration,2009,41
Madonna,7jgBVzMVZuuhaTG5zQ0Vgk,Hard Candy,2008,50
Madonna,7DcyT6c26utKmQQiiUZjTO,Hard Candy,2008,14
Madonna,2nYRylF5uTA1CTtya4qjU3,The Confessions Tour,2007,37
Madonna,13ZeJPkxOMO8kR6d3xGnMn,I'm Going To Tell You A Secret,2006,42
Madonna,1hg0pQJLE9dzfT1kgZtDPr,Confessions On A Dance Floor,2005,58
Madonna,1jbvz2rOweu6nQwgygKNhK,Remixed & Revisited,2003,39
Madonna,6makHXbA3KBYNlYEPXyFJW,American Life,2003,50
Madonna,2NZMONdo9NISDReH0DvrT6,American Life,2003,33
Madonna,5frQh0uqxnIQBam99WigU4,GHV2,2001,37
Madonna,5HE2PeHsMMsg6ZoVNBCbQZ,You Can Dance,2001,39
Madonna,3e3PxWKqv7lyZaR5d02abW,Music,2000,42
Madonna,6cuNyrSmRjBeekioLdLkvI,Ray Of Light,1998,58
David Bowie,3FwQCM9ZW0ogmmpNGwTAEE,Nothing Has Changed,2014,57
David Bowie,4SDj1IUl27KuplEa4jyDtj,Nothing Has Changed,2014,29
David Bowie,2agWNCZl5Ts9W05mij8EPh,The Next Day Extra,2013,56
David Bowie,16F7X7WOFZhMwQNsMil7lq,The Next Day,2013,41
David Bowie,2itp35XphXKG3x7WF8pCiO,A Reality Tour,2010,54
David Bowie,6rRQYCBIXUQi941445Jn7N,Reality,2003,33
David Bowie,04bKxe1Y7WFw4yrDPlmswG,Reality (Special Package with Bonus Disc),2003,27
David Bowie,5qmmEEUuZEvouYH67Kr7U7,Heathen,2002,33
David Bowie,6cideQBTEM8b6pQ40OHQ2P,Heathen (Special Package w/Bonus Disc),2002,27
David Bowie,19IM6lJc5obwrtpdEO0F5A,Hours,1999,37
David Bowie,3aDzKV68K2LLFtl9XsxHaP,Earthling,1997,39
David Bowie,2ulI4YbNOuFK2jXB2EGgWf,Outside,1995,39
David Bowie,2RgLZn9d5JPBTC4dinpLio,Live In Santa Monica '72,1994,40
David Bowie,1yFItZkb7DBAkQ5RB8OJv9,Black Tie White Noise,1993,35
David Bowie,329GKhK03PzYbbhaWg9K70,Black Tie White Noise Extras,1993,25
David Bowie,1ffVrnHH8i2POp5M7AzEDi,Buddha Of Suburbia,1993,29
David Bowie,6BTvQoynusQzFYAUcaOyVE,David Bowie Narrates Peter And The Wolf,1988,35
David Bowie,0Kzazpd1bFvj1s4kKRJ2ox,Never Let Me Down,1987,31
David Bowie,2qpGtrtpFA3WtJIuGKQioh,Never Let Me Down,1987,26
David Bowie,5W1SppUwQbyyEaPaDSPxSO,Labyrinth,1986,53
The Clash,48xJ1Xj8V4snc0am3T0SoF,Sound System,2013,60
The Clash,3Zkggi5I9uH5x94DuN6u1S,Hits Back,2013,70
The Clash,3un5bLdxz0zKhiZXlmnxWE,Live At Shea Stadium,2008,35
The Clash,4dMWTj1OkiCKFN5yBMP1vS,Live at Shea Stadium,2008,38
The Clash,70NjH8NkxcbYNvWAHnyv1e,From Here to Eternity: Live,1999,40
The Clash,3E01XjnmC1HdxTE8dPuEkn,Cut The Crap,1985,26
The Clash,1ZH5g1RDq3GY1OvyD0w0s2,Combat Rock,1982,61
The Clash,2UxN3UKyS3Z5r0Sra8A5RF,Sandinista!,1980,50
The Clash,3TZuLZx0zB3Q45aQXDswb9,London Calling (Legacy Edition),1979,49
The Clash,6FCzvataOZh68j8OKzOt9a,London Calling,1979,65
The Clash,4NEvCc6vHcsCPviWPCCrVg,Give 'Em Enough Rope,1978,41
The Clash,49kzgMsxHU5CTeb2XmFHjo,The Clash,1977,54
