score,FRL,black
19.73929453,56,33
33.03285094,45,4
30.57134703,56,5
27.68077892,58,21
27.57531558,58,6
41.91205649,40,5
37.10839133,34,12
32.71449785,48,31
30.75454237,56,21
29.3709893,59,38
32.33009857,52,2
36.46273725,46,1
36.46074003,46,17
38.09907049,46,11
35.7869997,38,5
40.48237821,45,7
30.03106034,49,10
20.82996659,65,46
39.5187882,42,3
37.43143087,41,35
54.62887488,38,9
30.45494226,46,16
47.16316571,32,8
21.29973421,69,46
32.61546846,47,18
39.6381727,39,1
35.55534387,43,6
28.32560079,56,9
46.75657318,26,2
48.8919398,34,17
22.65974699,70,2
32.29278147,47,19
36.27334687,54,28
40.58686394,30,3
40.16310166,42,15
25.0083738,53,10
34.29191061,54,2
41.88157361,41,14
35.98220969,44,8
30.84431851,54,36
38.37690121,36,2
27.52656148,53,21
37.92104305,56,12
36.18159825,38,1
46.86360939,37,2
38.0914528,35,23
41.88426399,44,4
23.51092411,57,6
39.83987733,40,9
37.81867838,36,1
