state,test,score,black,hispanic,FRL,income
Alabama,g4reading,30.74987548,30,7,59,42738.20386
Alaska,g4reading,27.49165023,4,7,51,62854.73724
Arizona,g4reading,27.59363401,5,45,53,49164.55627
Arkansas,g4reading,31.63974937,21,11,60,39751.86316
California,g4reading,26.90141137,6,54,60,57688.22366
Colorado,g4reading,40.63756883,5,31,42,60728.93533
Connecticut,g4reading,42.56094586,11,20,38,66480.70066
Delaware,g4reading,38.00177048,31,15,52,50951.3655
Florida,g4reading,38.95532512,22,31,60,47313.02277
Georgia,g4reading,33.94179332,34,15,60,48129.79512
Hawaii,g4reading,29.77088807,2,6,52,59244.22876
Idaho,g4reading,33.00900245,1,16,50,50192.74594
Illinois,g4reading,33.50535517,17,27,51,54842.723
Indiana,g4reading,37.82551398,10,9,52,48690.81743
Iowa,g4reading,37.99640997,5,8,39,54537.16482
Kansas,g4reading,37.57679338,7,17,52,51107.04087
Kentucky,g4reading,36.35262249,11,5,52,41920.66751
Louisiana,g4reading,22.99170257,48,4,71,39637.3462
Maine,g4reading,36.88820614,3,2,47,49996.66719
Maryland,g4reading,44.74906246,34,12,39,69070.6394
Massachusetts,g4reading,47.47421901,7,18,39,63772.18873
Michigan,g4reading,30.52180728,18,9,54,49771.14217
Minnesota,g4reading,41.48558925,9,7,36,61800.00437
Mississippi,g4reading,21.26181161,52,3,76,39011.69563
Missouri,g4reading,35.11772262,19,5,53,50399.22214
Montana,g4reading,34.71767024,1,4,46,44937.68256
Nebraska,g4reading,37.13256355,6,17,45,53364.4471
Nevada,g4reading,27.32715568,10,41,62,46694.94071
New Hampshire,g4reading,44.55871293,2,4,28,70063.00086
New Jersey,g4reading,41.94058811,17,21,42,64721.66431
New Mexico,g4reading,21.45531788,2,63,74,43091.00781
New York,g4reading,37.01302367,18,23,54,51108.16083
North Carolina,g4reading,35.22321769,26,16,58,41682.59397
North Dakota,g4reading,33.96500178,3,2,34,54731.92017
Ohio,g4reading,37.41252327,17,4,46,45709.18892
Oklahoma,g4reading,29.6632226,11,14,60,46443.78773
Oregon,g4reading,33.42608767,3,21,57,54417.18927
Pennsylvania,g4reading,40.10888619,16,8,45,53305.0636
Rhode Island,g4reading,37.56012425,9,22,49,57345.98303
South Carolina,g4reading,28.18075279,35,7,62,44397.72959
South Dakota,g4reading,32.00733122,3,4,42,52292.70959
Tennessee,g4reading,33.64876356,21,8,55,43059.52589
Texas,g4reading,28.47186411,14,50,62,52853.99719
